time 	 energy deviation
3.5625660692e-01 	 2.5500397368e-01
3.5688492545e-01 	 2.5500399579e-01
3.5751324398e-01 	 2.5500401799e-01
3.5814156251e-01 	 2.5500404027e-01
3.5876988104e-01 	 2.5500406265e-01
3.5939819957e-01 	 2.5500408511e-01
3.6002651810e-01 	 2.5500410766e-01
3.6065483663e-01 	 2.5500413030e-01
3.6128315516e-01 	 2.5500415303e-01
3.6191147369e-01 	 2.5500417585e-01
3.6253979222e-01 	 2.5500419876e-01
3.6316811075e-01 	 2.5500422176e-01
3.6379642929e-01 	 2.5500424485e-01
3.6442474782e-01 	 2.5500426803e-01
3.6505306635e-01 	 2.5500429130e-01
3.6568138488e-01 	 2.5500431466e-01
3.6630970341e-01 	 2.5500433811e-01
3.6693802194e-01 	 2.5500436165e-01
3.6756634047e-01 	 2.5500438528e-01
3.6819465900e-01 	 2.5500440901e-01
3.6882297753e-01 	 2.5500443283e-01
3.6945129606e-01 	 2.5500445673e-01
3.7007961459e-01 	 2.5500448074e-01
3.7070793312e-01 	 2.5500450483e-01
3.7133625165e-01 	 2.5500452902e-01
3.7196457019e-01 	 2.5500455330e-01
3.7259288872e-01 	 2.5500457767e-01
3.7322120725e-01 	 2.5500460214e-01
3.7384952578e-01 	 2.5500462670e-01
3.7447784431e-01 	 2.5500465135e-01
3.7510616284e-01 	 2.5500467610e-01
3.7573448137e-01 	 2.5500470094e-01
3.7636279990e-01 	 2.5500472588e-01
3.7699111843e-01 	 2.5500475091e-01
3.7761943696e-01 	 2.5500477604e-01
3.7824775549e-01 	 2.5500480126e-01
3.7887607402e-01 	 2.5500482658e-01
3.7950439255e-01 	 2.5500485200e-01
3.8013271108e-01 	 2.5500487751e-01
3.8076102962e-01 	 2.5500490312e-01
3.8138934815e-01 	 2.5500492882e-01
3.8201766668e-01 	 2.5500495462e-01
3.8264598521e-01 	 2.5500498052e-01
3.8327430374e-01 	 2.5500500652e-01
3.8390262227e-01 	 2.5500503261e-01
3.8453094080e-01 	 2.5500505880e-01
3.8515925933e-01 	 2.5500508509e-01
3.8578757786e-01 	 2.5500511148e-01
3.8641589639e-01 	 2.5500513797e-01
3.8704421492e-01 	 2.5500516456e-01
3.8767253345e-01 	 2.5500519124e-01
3.8830085198e-01 	 2.5500521803e-01
3.8892917051e-01 	 2.5500524491e-01
3.8955748905e-01 	 2.5500527189e-01
3.9018580758e-01 	 2.5500529898e-01
3.9081412611e-01 	 2.5500532616e-01
3.9144244464e-01 	 2.5500535345e-01
3.9207076317e-01 	 2.5500538083e-01
3.9269908170e-01 	 2.5500540832e-01
3.9332740023e-01 	 2.5500543591e-01
3.9395571876e-01 	 2.5500546360e-01
3.9458403729e-01 	 2.5500549139e-01
3.9521235582e-01 	 2.5500551929e-01
3.9584067435e-01 	 2.5500554729e-01
3.9646899288e-01 	 2.5500557539e-01
3.9709731141e-01 	 2.5500560359e-01
